log
"[2022-08-11 22:33:19,097 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""f1e8401f-20f1-41c3-96d3-7fb02d4192f3"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22876, ""time"": 1430, ""args"": ""{\""order_id\"":\""GPA.3385-0628-0355-99213\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""fghfhikfjoblmpojhllomlkd.AO-J1OxKqF1g61kgUENmh-9S06kysFZNLN_zWPXBHz1BG6dKoDd9T3xRmzIexqoU1MFW5nWEtR-LmX_gcGbe39N-IyBc9h0rdK--cLYtG5XNUqUxSbZi7LY\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-15 12:31:34,063 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""f897eac0-d56c-4ac5-a789-95ade0606b5c"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23619, ""time"": 1210, ""args"": ""{\""order_id\"":\""GPA.3335-4460-0237-77727\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""bnabnmndfjdkljnbpmoggfbk.AO-J1Ow3qz9xldcGFeg5mMasYXzRMhlVnMHPsFi_u76nbE0Z76zgGyK0rVdxKKDzI4tJ2mHcQRS3eowS0oTrT0hkeXRiDvy-zW5EB4mkfqI4NqNKwE4Fd5U\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-16 06:26:28,894 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""f5d23f8d-e0ff-4f2b-bdfa-7de36a38a5f6"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23801, ""time"": 1183, ""args"": ""{\""order_id\"":\""GPA.3345-5642-1705-88402\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""bjlebopoajmkchcngoehinbp.AO-J1OxoNSveuCgWbna8Vwi0oA0poBgUZ359uUNiXbZ_6_SnTmVgjfvQHRm0-JxmZAqEbEgpb1aZNySG7hyLNdIiluiFDqZH8NaOLb-Oa4KsTRvpTLnxgts\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-16 05:48:37,759 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""5c0c66d3-81dd-4f10-8404-e1371119376f"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22775, ""time"": 1078, ""args"": ""{\""order_id\"":\""GPA.3375-6335-6006-93011\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""pojjlphnhcpalbhkeenigpnm.AO-J1OwUnpY2Y3oxKZK5-PDnIDdkgQjsc2gaiPXOQw1UCAp1fgzdJ0tt9JsXiqAapAGfKa1Z_TrFgC6XHA9h-bFrmlA1SufPkOUkaHzvHeNj81A4L8K0cqw\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-16 04:07:53,109 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""56c18413-757f-419d-b8e3-2e4dac3cc257"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23750, ""time"": 989, ""args"": ""{\""order_id\"":\""GPA.3368-0452-6172-27874\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""ofniaodjmagfgkbpfiaejnnj.AO-J1OzNttHzg2brBSfLl_Zt9IVd5X61AdQbp3re27XpX3SfFHnguITyxGDYcW6PHbtYXh8FAx3XNx0QjL15-fazG2jzoiH3no1GGfTgDriRQCCCCURR5RI\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-17 04:14:39,184 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""de563991-ea92-4278-a107-50edcaaac711"", ""remote_address"": ""172.31.34.209"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23836, ""time"": 1009, ""args"": ""{\""order_id\"":\""GPA.3354-8819-2070-01707\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""kolfojpengifglngekdmlhbb.AO-J1OyqiE9GQ7gTVC8wMQvfX_gr88nXi2R1cwgrhuxU2UOYU-1twCghpt4HphrSeFGeI7pmGXKz0VGKqD6B-rL-y5wJCjuFw0Mn4HmJ4hMMTMsD0GUY7X4\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-05 10:18:33,064 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""9f76e460-5232-461e-8a6f-01379020c0aa"", ""remote_address"": ""172.31.34.209"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22056, ""time"": 1494, ""args"": ""{\""order_id\"":\""GPA.3322-0211-5770-39178\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""aeopfmkhajiiohdaefjbciod.AO-J1OypeoaRDWVtR6xs1klUPQL3PmgsxEVKZF0MRVUKy6oAqHmPsOZYS2Ij9AdAKJck5bub-SsxM7g9dJ1GHNgY31iYczjSv6oymIaWzjMgcjWeKB0JrzM\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-11 07:17:44,093 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""85f049f2-67df-40e8-8950-424636b62ff9"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22775, ""time"": 1450, ""args"": ""{\""order_id\"":\""GPA.3348-9206-2220-09286\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""goidkpplhegggkdiegbncmhj.AO-J1OyVw2gyqYyK-rBv-_xVam32syhoWdycCLDd28QQZResmqOmkXYmh4ZhmVahUEtFjjxiaG_qKVW2wA5W2mcYuQ2uvh1EL5KAKz6oXeOSnSYm6PIWWTk\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-11 08:06:04,444 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""1ba7ff91-2267-419e-b39b-c5f12274fd66"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22876, ""time"": 1496, ""args"": ""{\""order_id\"":\""GPA.3385-0628-0355-99213\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""fghfhikfjoblmpojhllomlkd.AO-J1OxKqF1g61kgUENmh-9S06kysFZNLN_zWPXBHz1BG6dKoDd9T3xRmzIexqoU1MFW5nWEtR-LmX_gcGbe39N-IyBc9h0rdK--cLYtG5XNUqUxSbZi7LY\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-11 08:06:04,444 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""1ba7ff91-2267-419e-b39b-c5f12274fd66"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22876, ""time"": 1496, ""args"": ""{\""order_id\"":\""GPA.3385-0628-0355-99213\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""fghfhikfjoblmpojhllomlkd.AO-J1OxKqF1g61kgUENmh-9S06kysFZNLN_zWPXBHz1BG6dKoDd9T3xRmzIexqoU1MFW5nWEtR-LmX_gcGbe39N-IyBc9h0rdK--cLYtG5XNUqUxSbZi7LY\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-11 08:08:41,106 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""e3ed49da-3d59-4912-906b-26bfe3c33c9a"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22876, ""time"": 1531, ""args"": ""{\""order_id\"":\""GPA.3385-0628-0355-99213\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""fghfhikfjoblmpojhllomlkd.AO-J1OxKqF1g61kgUENmh-9S06kysFZNLN_zWPXBHz1BG6dKoDd9T3xRmzIexqoU1MFW5nWEtR-LmX_gcGbe39N-IyBc9h0rdK--cLYtG5XNUqUxSbZi7LY\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
